School,Year,Phase,Vacancy,Applied,Taken,Balloting,Application Rate
Bukit Panjang Primary School,2013,1,240,97,97,,0.4041666666666667
Bukit Timah Primary School,2013,1,180,55,55,,0.3055555555555556
Bukit View Primary School,2013,1,210,72,72,,0.34285714285714286
Canberra Primary School,2013,1,240,85,85,,0.3541666666666667
Canossa Catholic Primary School,2013,1,120,21,21,,0.175
Cantonment Primary School,2013,1,240,57,57,,0.2375
Casuarina Primary School,2013,1,180,53,53,,0.29444444444444445
Catholic High School (Primary),2013,1,240,77,77,,0.32083333333333336
Cedar Primary School,2013,1,120,40,40,,0.3333333333333333
Changkat Primary School,2013,1,180,63,63,,0.35
CHIJ (Katong) Primary,2013,1,240,60,60,,0.25
CHIJ (Kellock),2013,1,200,56,56,,0.28
CHIJ Our Lady of Good Counsel,2013,1,150,42,42,,0.28
CHIJ Our Lady of the Nativity,2013,1,240,69,69,,0.2875
CHIJ Our Lady Queen of Peace,2013,1,180,50,50,,0.2777777777777778
CHIJ Primary (Toa Payoh),2013,1,210,70,70,,0.3333333333333333
CHIJ St. Nicholas Girls' School,2013,1,210,65,65,,0.30952380952380953
Chongfu School,2013,1,300,137,137,,0.45666666666666667
Chongzheng Primary School,2013,1,180,79,79,,0.4388888888888889
Chua Chu Kang Primary School,2013,1,240,91,91,,0.37916666666666665
Clementi Primary School,2013,1,270,76,76,,0.2814814814814815
Compassvale Primary School,2013,1,240,95,95,,0.3958333333333333
Concord Primary School,2013,1,210,87,87,,0.4142857142857143
Corporation Primary School,2013,1,210,92,92,,0.4380952380952381
Damai Primary School,2013,1,150,22,22,,0.14666666666666667
Dazhong Primary School,2013,1,180,46,46,,0.25555555555555554
De La Salle School,2013,1,270,98,98,,0.362962962962963
East Spring Primary School,2013,1,180,74,74,,0.4111111111111111
Edgefield Primary School,2013,1,270,111,111,,0.4111111111111111
Elias Park Primary School,2013,1,180,63,63,,0.35
Endeavour Primary School,2013,1,210,115,115,,0.5476190476190477
Eunos Primary School,2013,1,180,48,48,,0.26666666666666666
Evergreen Primary School,2013,1,240,99,99,,0.4125
Fairfield Methodist School (Primary),2013,1,270,140,140,,0.5185185185185185
Farrer Park Primary School,2013,1,180,20,20,,0.1111111111111111
Fengshan Primary School,2013,1,210,92,92,,0.4380952380952381
Fernvale Primary School,2013,1,240,94,94,,0.39166666666666666
First Toa Payoh Primary School,2013,1,210,37,37,,0.1761904761904762
Frontier Primary School,2013,1,240,57,57,,0.2375
Fuchun Primary School,2013,1,240,112,112,,0.4666666666666667
Fuhua Primary School,2013,1,240,79,79,,0.32916666666666666
Gan Eng Seng Primary School,2013,1,240,98,98,,0.4083333333333333
Geylang Methodist School (Primary),2013,1,270,108,108,,0.4
Gongshang Primary School,2013,1,240,92,92,,0.38333333333333336
Greendale Primary School,2013,1,240,118,118,,0.49166666666666664
