School,Year,Phase,Vacancy,Applied,Taken,Balloting,Application Rate
Yishun Primary School,2013,2A,129,24,24,,0.18604651162790697
Yu Neng Primary School,2013,2A,98,48,48,,0.4897959183673469
Yuhua Primary School,2013,2A,160,18,18,,0.1125
Yumin Primary School,2013,2A,119,20,20,,0.16806722689075632
Zhangde Primary School,2013,2A,120,20,20,,0.16666666666666666
Zhenghua Primary School,2013,2A,164,21,21,,0.12804878048780488
Zhonghua Primary School,2013,2A,157,10,10,,0.06369426751592357
Admiralty Primary School,2014,2A,99,23,23,,0.23232323232323232
Ahmad Ibrahim Primary School,2014,2A,81,9,9,,0.1111111111111111
Ai Tong School,2014,2A,152,131,131,,0.8618421052631579
Alexandra Primary School,2014,2A,152,1,1,,0.006578947368421052
Anchor Green Primary School,2014,2A,86,4,4,,0.046511627906976744
Anderson Primary School,2014,2A,76,56,56,,0.7368421052631579
Ang Mo Kio Primary School,2014,2A,117,15,15,,0.1282051282051282
Anglo-Chinese School (Junior),2014,2A,165,59,59,,0.3575757575757576
Anglo-Chinese School (Primary),2014,2A,145,121,121,,0.8344827586206897
Angsana Primary School,2014,2A,91,4,4,,0.04395604395604396
Beacon Primary School,2014,2A,92,5,5,,0.05434782608695652
Bedok Green Primary School,2014,2A,116,12,12,,0.10344827586206896
Bendemeer Primary School,2014,2A,111,15,15,,0.13513513513513514
Blangah Rise Primary School,2014,2A,112,3,3,,0.026785714285714284
Boon Lay Garden Primary School,2014,2A,125,8,8,,0.064
Bukit Panjang Primary School,2014,2A,77,42,42,,0.5454545454545454
Bukit Timah Primary School,2014,2A,85,7,7,,0.08235294117647059
Bukit View Primary School,2014,2A,138,7,7,,0.050724637681159424
Canberra Primary School,2014,2A,77,32,32,,0.4155844155844156
Canossa Catholic Primary School,2014,2A,54,4,4,,0.07407407407407407
Cantonment Primary School,2014,2A,136,0,0,,0.0
Casuarina Primary School,2014,2A,74,6,6,,0.08108108108108109
Catholic High School (Primary),2014,2A,126,122,122,,0.9682539682539683
Cedar Primary School,2014,2A,44,13,13,,0.29545454545454547
Changkat Primary School,2014,2A,65,11,11,,0.16923076923076924
CHIJ (Katong) Primary,2014,2A,150,31,31,,0.20666666666666667
CHIJ (Kellock),2014,2A,112,25,25,,0.22321428571428573
CHIJ Our Lady of Good Counsel,2014,2A,73,20,20,,0.273972602739726
CHIJ Our Lady of the Nativity,2014,2A,133,25,25,,0.18796992481203006
CHIJ Our Lady Queen of Peace,2014,2A,94,12,12,,0.1276595744680851
CHIJ Primary (Toa Payoh),2014,2A,117,57,57,,0.48717948717948717
CHIJ St. Nicholas Girls' School,2014,2A,98,98,98,,1.0
Chongfu School,2014,2A,126,56,56,,0.4444444444444444
Chongzheng Primary School,2014,2A,62,31,31,,0.5
Chua Chu Kang Primary School,2014,2A,92,12,12,,0.13043478260869565
Clementi Primary School,2014,2A,117,25,25,,0.21367521367521367
Compassvale Primary School,2014,2A,98,5,5,,0.05102040816326531
Concord Primary School,2014,2A,90,11,11,,0.12222222222222222
Corporation Primary School,2014,2A,104,5,5,,0.04807692307692308
Damai Primary School,2014,2A,108,8,8,,0.07407407407407407
Dazhong Primary School,2014,2A,106,18,18,,0.16981132075471697
De La Salle School,2014,2A,124,29,29,,0.23387096774193547
East Spring Primary School,2014,2A,74,11,11,,0.14864864864864866
Edgefield Primary School,2014,2A,98,12,12,,0.12244897959183673
Elias Park Primary School,2014,2A,80,9,9,,0.1125
Endeavour Primary School,2014,2A,87,6,6,,0.06896551724137931
Eunos Primary School,2014,2A,96,11,11,,0.11458333333333333
Evergreen Primary School,2014,2A,102,18,18,,0.17647058823529413
Fairfield Methodist School (Primary),2014,2A,104,92,92,,0.8846153846153846
Farrer Park Primary School,2014,2A,120,2,2,,0.016666666666666666
Fengshan Primary School,2014,2A,82,33,33,,0.4024390243902439
Fernvale Primary School,2014,2A,115,2,2,,0.017391304347826087
First Toa Payoh Primary School,2014,2A,159,6,6,,0.03773584905660377
Frontier Primary School,2014,2A,117,1,1,,0.008547008547008548
Fuchun Primary School,2014,2A,101,14,14,,0.13861386138613863
Fuhua Primary School,2014,2A,115,36,36,,0.3130434782608696
Gan Eng Seng Primary School,2014,2A,121,6,6,,0.049586776859504134
Geylang Methodist School (Primary),2014,2A,149,29,29,,0.19463087248322147
Gongshang Primary School,2014,2A,98,41,41,,0.41836734693877553
Greendale Primary School,2014,2A,140,5,5,,0.03571428571428571
Greenridge Primary School,2014,2A,84,13,13,,0.15476190476190477
Greenwood Primary School,2014,2A,98,13,13,,0.1326530612244898
Guangyang Primary School,2014,2A,123,4,4,,0.032520325203252036
Haig Girls' School,2014,2A,89,19,19,,0.21348314606741572
Henry Park Primary School,2014,2A,115,115,115,,1.0
Holy Innocents' Primary School,2014,2A,116,77,77,,0.6637931034482759
Hong Wen School,2014,2A,77,25,25,,0.3246753246753247
Horizon Primary School,2014,2A,92,0,0,,0.0
Hougang Primary School,2014,2A,112,15,15,,0.13392857142857142
Huamin Primary School,2014,2A,78,12,12,,0.15384615384615385
Innova Primary School,2014,2A,63,10,10,,0.15873015873015872
Jiemin Primary School,2014,2A,67,28,28,,0.417910447761194
Jing Shan Primary School,2014,2A,73,14,14,,0.1917808219178082
Junyuan Primary School,2014,2A,125,14,14,,0.112
Jurong Primary School,2014,2A,102,49,49,,0.4803921568627451
Jurong West Primary School,2014,2A,81,9,9,,0.1111111111111111
Juying Primary School,2014,2A,158,7,7,,0.04430379746835443
Keming Primary School,2014,2A,70,23,23,,0.32857142857142857
Kheng Cheng School,2014,2A,112,15,15,,0.13392857142857142
Kong Hwa School,2014,2A,101,75,75,,0.7425742574257426
Kranji Primary School,2014,2A,119,4,4,,0.03361344537815126
Kuo Chuan Presbyterian Primary School,2014,2A,103,24,24,,0.23300970873786409
Lakeside Primary School,2014,2A,118,35,35,,0.2966101694915254
Lianhua Primary School,2014,2A,108,9,9,,0.08333333333333333
Maha Bodhi School,2014,2A,156,100,100,,0.6410256410256411
Maris Stella High School,2014,2A,130,64,64,,0.49230769230769234
Marsiling Primary School,2014,2A,133,11,11,,0.08270676691729323
Marymount Convent School,2014,2A,161,9,9,,0.055900621118012424
Mayflower Primary School,2014,2A,134,8,8,,0.05970149253731343
Mee Toh School,2014,2A,95,20,20,,0.21052631578947367
Meridian Primary School,2014,2A,124,10,10,,0.08064516129032258
Methodist Girls' School (Primary),2014,2A,97,81,81,,0.8350515463917526
Montfort Junior School,2014,2A,151,8,8,,0.052980132450331126
Nan Chiau Primary School,2014,2A,140,53,53,,0.37857142857142856
Nan Hua Primary School,2014,2A,83,83,83,,1.0
Nanyang Primary School,2014,2A,158,153,153,,0.9683544303797469
Naval Base Primary School,2014,2A,132,12,12,,0.09090909090909091
New Town Primary School,2014,2A,127,12,12,,0.09448818897637795
Ngee Ann Primary School,2014,2A,91,35,35,,0.38461538461538464
North Spring Primary School,2014,2A,129,8,8,,0.06201550387596899
North View Primary School,2014,2A,87,6,6,,0.06896551724137931
North Vista Primary School,2014,2A,89,2,2,,0.02247191011235955
Northland Primary School,2014,2A,111,48,48,,0.43243243243243246
Northoaks Primary School,2014,2A,161,0,0,,0.0
Opera Estate Primary School,2014,2A,74,13,13,,0.17567567567567569
Palm View Primary School,2014,2A,160,0,0,,0.0
Park View Primary School,2014,2A,88,7,7,,0.07954545454545454
Pasir Ris Primary School,2014,2A,44,22,22,,0.5
Paya Lebar Methodist Girls' School (Primary),2014,2A,153,59,59,,0.38562091503267976
Pei Chun Public School,2014,2A,158,131,131,,0.8291139240506329
Pei Hwa Presbyterian Primary School,2014,2A,116,76,76,,0.6551724137931034
Pei Tong Primary School,2014,2A,116,22,22,,0.1896551724137931
Peiying Primary School,2014,2A,82,16,16,,0.1951219512195122
Pioneer Primary School,2014,2A,112,5,5,,0.044642857142857144
Poi Ching School,2014,2A,91,25,25,,0.27472527472527475
Princess Elizabeth Primary School,2014,2A,93,41,41,,0.44086021505376344
Punggol Green Primary School,2014,2A,232,0,0,,0.0
Punggol Primary School,2014,2A,98,10,10,,0.10204081632653061
Punggol View Primary School,2014,2A,165,4,4,,0.024242424242424242
Qifa Primary School,2014,2A,116,33,33,,0.28448275862068967
Qihua Primary School,2014,2A,110,12,12,,0.10909090909090909
Queenstown Primary School,2014,2A,137,19,19,,0.1386861313868613
Radin Mas Primary School,2014,2A,66,66,66,,1.0
Raffles Girls' Primary School,2014,2A,161,78,78,,0.484472049689441
Red Swastika School,2014,2A,94,83,83,,0.8829787234042553
River Valley Primary School,2014,2A,100,55,55,,0.55
Riverside Primary School,2014,2A,153,1,1,,0.006535947712418301
Rivervale Primary School,2014,2A,90,13,13,,0.14444444444444443
Rosyth School,2014,2A,103,88,88,,0.8543689320388349
Rulang Primary School,2014,2A,109,91,91,,0.8348623853211009
Sembawang Primary School,2014,2A,94,10,10,,0.10638297872340426
Seng Kang Primary School,2014,2A,113,9,9,,0.07964601769911504
Sengkang Green Primary School,2014,2A,160,0,0,,0.0
Shuqun Primary School,2014,2A,79,40,40,,0.5063291139240507
Si Ling Primary School,2014,2A,131,13,13,,0.09923664122137404
Singapore Chinese Girls' Primary School,2014,2A,100,84,84,,0.84
South View Primary School,2014,2A,110,78,78,,0.7090909090909091
Springdale Primary School,2014,2A,186,0,0,,0.0
St. Andrew's Junior School,2014,2A,136,68,68,,0.5
St. Anthony's Canossian Primary School,2014,2A,122,6,6,,0.04918032786885246
St. Anthony's Primary School,2014,2A,108,19,19,,0.17592592592592593
St. Gabriel's Primary School,2014,2A,76,17,17,,0.2236842105263158
St. Hilda's Primary School,2014,2A,124,56,56,,0.45161290322580644
St. Joseph's Institution Junior,2014,2A,134,59,59,,0.44029850746268656
St. Margaret's Primary School,2014,2A,115,22,22,,0.19130434782608696
St. Stephen's School,2014,2A,114,34,34,,0.2982456140350877
Stamford Primary School,2014,2A,101,7,7,,0.06930693069306931
Tampines North Primary School,2014,2A,95,9,9,,0.09473684210526316
Tampines Primary School,2014,2A,90,15,15,,0.16666666666666666
Tanjong Katong Primary School,2014,2A,115,32,32,,0.2782608695652174
Tao Nan School,2014,2A,143,100,100,,0.6993006993006993
Teck Ghee Primary School,2014,2A,112,23,23,,0.20535714285714285
Teck Whye Primary School,2014,2A,125,4,4,,0.032
Telok Kurau Primary School,2014,2A,84,14,14,,0.16666666666666666
Temasek Primary School,2014,2A,82,73,73,,0.8902439024390244
Townsville Primary School,2014,2A,112,20,20,,0.17857142857142858
Unity Primary School,2014,2A,101,14,14,,0.13861386138613863
Wellington Primary School,2014,2A,124,8,8,,0.06451612903225806
West Grove Primary School,2014,2A,93,10,10,,0.10752688172043011
West Spring Primary School,2014,2A,181,0,0,,0.0
West View Primary School,2014,2A,86,5,5,,0.05813953488372093
Westwood Primary School,2014,2A,150,2,2,,0.013333333333333334
White Sands Primary School,2014,2A,68,20,20,,0.29411764705882354
Woodgrove Primary School,2014,2A,90,13,13,,0.14444444444444443
Woodlands Primary School,2014,2A,98,12,12,,0.12244897959183673
Woodlands Ring Primary School,2014,2A,109,17,17,,0.1559633027522936
Xinghua Primary School,2014,2A,112,18,18,,0.16071428571428573
Xingnan Primary School,2014,2A,106,28,28,,0.2641509433962264
Xinmin Primary School,2014,2A,92,56,56,,0.6086956521739131
Xishan Primary School,2014,2A,98,14,14,,0.14285714285714285
Yangzheng Primary School,2014,2A,68,29,29,,0.4264705882352941
Yew Tee Primary School,2014,2A,110,13,13,,0.11818181818181818
Yio Chu Kang Primary School,2014,2A,95,2,2,,0.021052631578947368
Yishun Primary School,2014,2A,83,26,26,,0.3132530120481928
Yu Neng Primary School,2014,2A,64,64,64,,1.0
Yuhua Primary School,2014,2A,144,16,16,,0.1111111111111111
Yumin Primary School,2014,2A,90,19,19,,0.2111111111111111
Zhangde Primary School,2014,2A,108,13,13,,0.12037037037037036
Zhenghua Primary School,2014,2A,97,19,19,,0.1958762886597938
Zhonghua Primary School,2014,2A,106,7,7,,0.0660377358490566
Admiralty Primary School,2015,2A,90,33,33,,0.36666666666666664
Ahmad Ibrahim Primary School,2015,2A,84,6,6,,0.07142857142857142
Ai Tong School,2015,2A,132,132,132,,1.0
Alexandra Primary School,2015,2A,117,0,0,,0.0
Anchor Green Primary School,2015,2A,128,5,5,,0.0390625
Anderson Primary School,2015,2A,87,64,64,,0.735632183908046
Ang Mo Kio Primary School,2015,2A,108,9,9,,0.08333333333333333
Anglo-Chinese School (Junior),2015,2A,163,87,87,,0.5337423312883436
Anglo-Chinese School (Primary),2015,2A,138,120,120,,0.8695652173913043
Angsana Primary School,2015,2A,81,3,3,,0.037037037037037035
Beacon Primary School,2015,2A,109,4,4,,0.03669724770642202
Bedok Green Primary School,2015,2A,121,14,14,,0.11570247933884298
Bendemeer Primary School,2015,2A,125,10,10,,0.08
Blangah Rise Primary School,2015,2A,83,9,9,,0.10843373493975904
Boon Lay Garden Primary School,2015,2A,125,9,9,,0.072
Bukit Panjang Primary School,2015,2A,100,49,49,,0.49
Bukit Timah Primary School,2015,2A,85,3,3,,0.03529411764705882
Bukit View Primary School,2015,2A,90,7,7,,0.07777777777777778
Canberra Primary School,2015,2A,87,12,12,,0.13793103448275862
Canossa Catholic Primary School,2015,2A,62,3,3,,0.04838709677419355
Cantonment Primary School,2015,2A,98,3,3,,0.030612244897959183
Casuarina Primary School,2015,2A,76,3,3,,0.039473684210526314
Catholic High School (Primary),2015,2A,127,127,127,,1.0
Cedar Primary School,2015,2A,45,13,13,,0.28888888888888886
Changkat Primary School,2015,2A,85,16,16,,0.18823529411764706
CHIJ (Katong) Primary,2015,2A,135,32,32,,0.23703703703703705
CHIJ (Kellock),2015,2A,107,27,27,,0.2523364485981308
CHIJ Our Lady of Good Counsel,2015,2A,66,17,17,,0.25757575757575757
CHIJ Our Lady of the Nativity,2015,2A,139,24,24,,0.17266187050359713
CHIJ Our Lady Queen of Peace,2015,2A,91,21,21,,0.23076923076923078
CHIJ Primary (Toa Payoh),2015,2A,112,62,62,,0.5535714285714286
CHIJ St. Nicholas Girls' School,2015,2A,92,90,90,,0.9782608695652174
Chongfu School,2015,2A,134,62,62,,0.4626865671641791
Chongzheng Primary School,2015,2A,59,26,26,,0.4406779661016949
Chua Chu Kang Primary School,2015,2A,115,17,17,,0.14782608695652175
Clementi Primary School,2015,2A,115,24,24,,0.20869565217391303
Compassvale Primary School,2015,2A,106,4,4,,0.03773584905660377
Concord Primary School,2015,2A,100,15,15,,0.15
Corporation Primary School,2015,2A,78,7,7,,0.08974358974358974
Damai Primary School,2015,2A,71,5,5,,0.07042253521126761
Dazhong Primary School,2015,2A,100,12,12,,0.12
De La Salle School,2015,2A,126,28,28,,0.2222222222222222
East Spring Primary School,2015,2A,73,8,8,,0.1095890410958904
Edgefield Primary School,2015,2A,100,13,13,,0.13
Elias Park Primary School,2015,2A,70,13,13,,0.18571428571428572
Endeavour Primary School,2015,2A,71,7,7,,0.09859154929577464
Eunos Primary School,2015,2A,109,9,9,,0.08256880733944955
Evergreen Primary School,2015,2A,98,8,8,,0.08163265306122448
Fairfield Methodist School (Primary),2015,2A,106,84,84,,0.7924528301886793
Farrer Park Primary School,2015,2A,94,4,4,,0.0425531914893617
Fengshan Primary School,2015,2A,71,27,27,,0.38028169014084506
Fernvale Primary School,2015,2A,123,2,2,,0.016260162601626018
First Toa Payoh Primary School,2015,2A,113,8,8,,0.07079646017699115
Frontier Primary School,2015,2A,113,4,4,,0.035398230088495575
Fuchun Primary School,2015,2A,95,19,19,,0.2
Fuhua Primary School,2015,2A,117,18,18,,0.15384615384615385
Gan Eng Seng Primary School,2015,2A,90,8,8,,0.08888888888888889
Geylang Methodist School (Primary),2015,2A,131,28,28,,0.21374045801526717
Gongshang Primary School,2015,2A,102,52,52,,0.5098039215686274
Greendale Primary School,2015,2A,105,8,8,,0.0761904761904762
Greenridge Primary School,2015,2A,106,12,12,,0.11320754716981132
Greenwood Primary School,2015,2A,119,16,16,,0.13445378151260504
Guangyang Primary School,2015,2A,110,1,1,,0.00909090909090909
Haig Girls' School,2015,2A,96,20,20,,0.20833333333333334
Henry Park Primary School,2015,2A,116,114,114,,0.9827586206896551
Holy Innocents' Primary School,2015,2A,131,70,70,,0.5343511450381679
Hong Wen School,2015,2A,80,43,43,,0.5375
Horizon Primary School,2015,2A,41,1,1,,0.024390243902439025
Hougang Primary School,2015,2A,111,10,10,,0.09009009009009009
Huamin Primary School,2015,2A,69,22,22,,0.3188405797101449
Innova Primary School,2015,2A,77,12,12,,0.15584415584415584
Jiemin Primary School,2015,2A,65,23,23,,0.35384615384615387
Jing Shan Primary School,2015,2A,90,13,13,,0.14444444444444443
Junyuan Primary School,2015,2A,118,13,13,,0.11016949152542373
Jurong Primary School,2015,2A,98,50,50,,0.5102040816326531
Jurong West Primary School,2015,2A,100,12,12,,0.12
Juying Primary School,2015,2A,127,2,2,,0.015748031496062992
Keming Primary School,2015,2A,82,29,29,,0.35365853658536583
Kheng Cheng School,2015,2A,84,25,25,,0.2976190476190476
Kong Hwa School,2015,2A,107,55,55,,0.514018691588785
Kranji Primary School,2015,2A,127,8,8,,0.06299212598425197
Kuo Chuan Presbyterian Primary School,2015,2A,109,40,40,,0.3669724770642202
Lakeside Primary School,2015,2A,94,15,15,,0.1595744680851064
Lianhua Primary School,2015,2A,86,6,6,,0.06976744186046512
Maha Bodhi School,2015,2A,162,98,98,,0.6049382716049383
Maris Stella High School,2015,2A,146,71,71,,0.4863013698630137
Marsiling Primary School,2015,2A,120,14,14,,0.11666666666666667
Marymount Convent School,2015,2A,154,8,8,,0.05194805194805195
Mayflower Primary School,2015,2A,92,11,11,,0.11956521739130435
Mee Toh School,2015,2A,133,39,39,,0.2932330827067669
Meridian Primary School,2015,2A,65,8,8,,0.12307692307692308
Methodist Girls' School (Primary),2015,2A,90,78,78,,0.8666666666666667
Montfort Junior School,2015,2A,113,7,7,,0.061946902654867256
Nan Chiau Primary School,2015,2A,124,43,43,,0.3467741935483871
Nan Hua Primary School,2015,2A,79,79,79,,1.0
Nanyang Primary School,2015,2A,145,145,145,,1.0
Naval Base Primary School,2015,2A,93,8,8,,0.08602150537634409
New Town Primary School,2015,2A,118,13,13,,0.11016949152542373
Ngee Ann Primary School,2015,2A,106,38,38,,0.3584905660377358
North Spring Primary School,2015,2A,140,10,10,,0.07142857142857142
North View Primary School,2015,2A,76,7,7,,0.09210526315789473
North Vista Primary School,2015,2A,100,2,2,,0.02
Northland Primary School,2015,2A,105,39,39,,0.37142857142857144
Northoaks Primary School,2015,2A,109,4,4,,0.03669724770642202
Oasis Primary School,2015,2A,170,0,0,,0.0
Opera Estate Primary School,2015,2A,77,11,11,,0.14285714285714285
Palm View Primary School,2015,2A,118,1,1,,0.00847457627118644
Park View Primary School,2015,2A,96,0,0,,0.0
Pasir Ris Primary School,2015,2A,51,17,17,,0.3333333333333333
Paya Lebar Methodist Girls' School (Primary),2015,2A,159,51,51,,0.32075471698113206
Pei Chun Public School,2015,2A,175,111,111,,0.6342857142857142
Pei Hwa Presbyterian Primary School,2015,2A,126,66,66,,0.5238095238095238
Pei Tong Primary School,2015,2A,116,25,25,,0.21551724137931033
Peiying Primary School,2015,2A,79,15,15,,0.189873417721519
Pioneer Primary School,2015,2A,127,10,10,,0.07874015748031496
Poi Ching School,2015,2A,107,32,32,,0.29906542056074764
Princess Elizabeth Primary School,2015,2A,103,48,48,,0.46601941747572817
Punggol Cove Primary School,2015,2A,170,0,0,,0.0
Punggol Green Primary School,2015,2A,145,2,2,,0.013793103448275862
Punggol Primary School,2015,2A,95,12,12,,0.12631578947368421
Punggol View Primary School,2015,2A,122,1,1,,0.00819672131147541
Qifa Primary School,2015,2A,115,26,26,,0.22608695652173913
Qihua Primary School,2015,2A,107,18,18,,0.16822429906542055
Queenstown Primary School,2015,2A,144,10,10,,0.06944444444444445
Radin Mas Primary School,2015,2A,102,52,52,,0.5098039215686274
Raffles Girls' Primary School,2015,2A,133,69,69,,0.518796992481203
Red Swastika School,2015,2A,97,95,95,,0.979381443298969
River Valley Primary School,2015,2A,92,52,52,,0.5652173913043478
Riverside Primary School,2015,2A,131,3,3,,0.022900763358778626
Rivervale Primary School,2015,2A,103,22,22,,0.21359223300970873
Rosyth School,2015,2A,112,79,79,,0.7053571428571429
Rulang Primary School,2015,2A,96,93,93,,0.96875
Sembawang Primary School,2015,2A,120,6,6,,0.05
Seng Kang Primary School,2015,2A,122,8,8,,0.06557377049180328
Sengkang Green Primary School,2015,2A,101,0,0,,0.0
Shuqun Primary School,2015,2A,116,29,29,,0.25
Si Ling Primary School,2015,2A,109,8,8,,0.07339449541284404
Singapore Chinese Girls' Primary School,2015,2A,113,63,63,,0.5575221238938053
South View Primary School,2015,2A,106,68,68,,0.6415094339622641
Springdale Primary School,2015,2A,138,1,1,,0.007246376811594203
St. Andrew's Junior School,2015,2A,138,51,51,,0.3695652173913043
St. Anthony's Canossian Primary School,2015,2A,114,8,8,,0.07017543859649122
St. Anthony's Primary School,2015,2A,100,21,21,,0.21
St. Gabriel's Primary School,2015,2A,85,20,20,,0.23529411764705882
St. Hilda's Primary School,2015,2A,111,64,64,,0.5765765765765766
St. Joseph's Institution Junior,2015,2A,136,63,63,,0.4632352941176471
St. Margaret's Primary School,2015,2A,129,31,31,,0.24031007751937986
St. Stephen's School,2015,2A,123,51,51,,0.4146341463414634
Stamford Primary School,2015,2A,64,2,2,,0.03125
Tampines North Primary School,2015,2A,105,6,6,,0.05714285714285714
Tampines Primary School,2015,2A,90,30,30,,0.3333333333333333
Tanjong Katong Primary School,2015,2A,107,31,31,,0.2897196261682243
Tao Nan School,2015,2A,135,120,120,,0.8888888888888888
Teck Ghee Primary School,2015,2A,122,17,17,,0.13934426229508196
Teck Whye Primary School,2015,2A,86,6,6,,0.06976744186046512
Telok Kurau Primary School,2015,2A,95,17,17,,0.17894736842105263
Temasek Primary School,2015,2A,91,69,69,,0.7582417582417582
Townsville Primary School,2015,2A,106,8,8,,0.07547169811320754
Unity Primary School,2015,2A,106,8,8,,0.07547169811320754
Waterway Primary School,2015,2A,170,0,0,,0.0
Wellington Primary School,2015,2A,91,10,10,,0.10989010989010989
West Grove Primary School,2015,2A,83,10,10,,0.12048192771084337
West Spring Primary School,2015,2A,158,-1,-1,,-0.006329113924050633
West View Primary School,2015,2A,91,5,5,,0.054945054945054944
Westwood Primary School,2015,2A,110,0,0,,0.0
White Sands Primary School,2015,2A,58,6,6,,0.10344827586206896
Woodgrove Primary School,2015,2A,101,14,14,,0.13861386138613863
Woodlands Primary School,2015,2A,80,22,22,,0.275
Woodlands Ring Primary School,2015,2A,104,13,13,,0.125
Xinghua Primary School,2015,2A,130,15,15,,0.11538461538461539
Xingnan Primary School,2015,2A,125,31,31,,0.248
Xinmin Primary School,2015,2A,73,55,55,,0.7534246575342466
Xishan Primary School,2015,2A,91,13,13,,0.14285714285714285
Yangzheng Primary School,2015,2A,74,14,14,,0.1891891891891892
Yew Tee Primary School,2015,2A,76,15,15,,0.19736842105263158
Yio Chu Kang Primary School,2015,2A,89,3,3,,0.033707865168539325
Yishun Primary School,2015,2A,113,20,20,,0.17699115044247787
Yu Neng Primary School,2015,2A,61,55,55,,0.9016393442622951
Yuhua Primary School,2015,2A,142,13,13,,0.09154929577464789
Yumin Primary School,2015,2A,75,19,19,,0.25333333333333335
Zhangde Primary School,2015,2A,104,22,22,,0.21153846153846154
Zhenghua Primary School,2015,2A,87,22,22,,0.25287356321839083
Zhonghua Primary School,2015,2A,83,14,14,,0.1686746987951807
Admiralty Primary School,2016,2A,100,21,21,,0.21
Ahmad Ibrahim Primary School,2016,2A,94,13,13,,0.13829787234042554
Ai Tong School,2016,2A,168,138,138,,0.8214285714285714
Alexandra Primary School,2016,2A,97,2,2,,0.020618556701030927
Anchor Green Primary School,2016,2A,131,3,3,,0.022900763358778626
Anderson Primary School,2016,2A,95,45,45,,0.47368421052631576
Ang Mo Kio Primary School,2016,2A,94,14,14,,0.14893617021276595
Anglo-Chinese School (Junior),2016,2A,154,95,95,,0.6168831168831169
Anglo-Chinese School (Primary),2016,2A,126,125,125,,0.9920634920634921
Angsana Primary School,2016,2A,55,5,5,,0.09090909090909091
Beacon Primary School,2016,2A,80,0,0,,0.0
Bedok Green Primary School,2016,2A,104,7,7,,0.0673076923076923
Bendemeer Primary School,2016,2A,90,11,11,,0.12222222222222222
Blangah Rise Primary School,2016,2A,57,2,2,,0.03508771929824561
Boon Lay Garden Primary School,2016,2A,108,7,7,,0.06481481481481481
Bukit Panjang Primary School,2016,2A,93,41,41,,0.44086021505376344
Bukit Timah Primary School,2016,2A,96,5,5,,0.052083333333333336
Bukit View Primary School,2016,2A,82,8,8,,0.0975609756097561
Canberra Primary School,2016,2A,83,19,19,,0.2289156626506024
Canossa Catholic Primary School,2016,2A,67,3,3,,0.04477611940298507
Cantonment Primary School,2016,2A,103,8,8,,0.07766990291262135
Casuarina Primary School,2016,2A,52,7,7,,0.1346153846153846
Catholic High School (Primary),2016,2A,128,124,124,,0.96875
Cedar Primary School,2016,2A,43,8,8,,0.18604651162790697
Changkat Primary School,2016,2A,59,10,10,,0.1694915254237288
CHIJ (Katong) Primary,2016,2A,110,37,37,,0.33636363636363636
CHIJ (Kellock),2016,2A,107,12,12,,0.11214953271028037
CHIJ Our Lady of Good Counsel,2016,2A,80,21,21,,0.2625
CHIJ Our Lady of the Nativity,2016,2A,144,36,36,,0.25
CHIJ Our Lady Queen of Peace,2016,2A,101,8,8,,0.07920792079207921
CHIJ Primary (Toa Payoh),2016,2A,113,62,62,,0.5486725663716814
CHIJ St. Nicholas Girls' School,2016,2A,108,94,94,,0.8703703703703703
Chongfu School,2016,2A,155,63,63,,0.4064516129032258
Chongzheng Primary School,2016,2A,73,31,31,,0.4246575342465753
Chua Chu Kang Primary School,2016,2A,61,18,18,,0.29508196721311475
Clementi Primary School,2016,2A,121,23,23,,0.19008264462809918
Compassvale Primary School,2016,2A,108,8,8,,0.07407407407407407
Concord Primary School,2016,2A,112,13,13,,0.11607142857142858
Corporation Primary School,2016,2A,92,11,11,,0.11956521739130435
Damai Primary School,2016,2A,55,7,7,,0.12727272727272726
Dazhong Primary School,2016,2A,62,10,10,,0.16129032258064516
De La Salle School,2016,2A,135,16,16,,0.11851851851851852
East Spring Primary School,2016,2A,81,6,6,,0.07407407407407407
Edgefield Primary School,2016,2A,101,9,9,,0.0891089108910891
Elias Park Primary School,2016,2A,76,5,5,,0.06578947368421052
Endeavour Primary School,2016,2A,96,16,16,,0.16666666666666666
Eunos Primary School,2016,2A,77,7,7,,0.09090909090909091
Evergreen Primary School,2016,2A,84,8,8,,0.09523809523809523
Fairfield Methodist School (Primary),2016,2A,108,102,102,,0.9444444444444444
Farrer Park Primary School,2016,2A,50,1,1,,0.02
Fengshan Primary School,2016,2A,119,52,52,,0.4369747899159664
Fernvale Primary School,2016,2A,124,3,3,,0.024193548387096774
First Toa Payoh Primary School,2016,2A,105,0,0,,0.0
Frontier Primary School,2016,2A,108,0,0,,0.0
Fuchun Primary School,2016,2A,55,20,20,,0.36363636363636365
Fuhua Primary School,2016,2A,98,32,32,,0.32653061224489793
Gan Eng Seng Primary School,2016,2A,99,7,7,,0.0707070707070707
Geylang Methodist School (Primary),2016,2A,141,22,22,,0.15602836879432624
Gongshang Primary School,2016,2A,85,52,52,,0.611764705882353
Greendale Primary School,2016,2A,123,2,2,,0.016260162601626018
Greenridge Primary School,2016,2A,123,16,16,,0.13008130081300814
Greenwood Primary School,2016,2A,97,6,6,,0.061855670103092786
Guangyang Primary School,2016,2A,80,3,3,,0.0375
Haig Girls' School,2016,2A,93,34,34,,0.3655913978494624
Henry Park Primary School,2016,2A,102,100,100,,0.9803921568627451
Holy Innocents' Primary School,2016,2A,132,56,56,,0.42424242424242425
