School,Year,Phase,Vacancy,Applied,Taken,Balloting,Application Rate
Raffles Girls' Primary School,2016,1,230,74,74,,0.32173913
Red Swastika School,2016,1,200,87,87,,0.435
River Valley Primary School,2016,1,200,95,95,,0.475
Riverside Primary School,2016,1,170,82,82,,0.482352941
Rivervale Primary School,2016,1,200,85,85,,0.425
Rosyth School,2016,1,260,114,114,,0.438461538
Rulang Primary School,2016,1,230,117,117,,0.508695652
Sembawang Primary School,2016,1,140,58,58,,0.414285714
Seng Kang Primary School,2016,1,200,82,82,,0.41
Sengkang Green Primary School,2016,1,200,85,85,,0.425
Shuqun Primary School,2016,1,200,90,90,,0.45
Si Ling Primary School,2016,1,140,53,53,,0.378571429
Singapore Chinese Girls' Primary School,2016,1,160,55,55,,0.34375
South View Primary School,2016,1,230,104,104,,0.452173913
Springdale Primary School,2016,1,200,77,77,,0.385
St. Andrew's Junior School,2016,1,200,69,69,,0.345
St. Anthony's Canossian Primary School,2016,1,170,45,45,,0.264705882
St. Anthony's Primary School,2016,1,200,101,101,,0.505
St. Gabriel's Primary School,2016,1,110,27,27,,0.245454545
St. Hilda's Primary School,2016,1,230,119,119,,0.517391304
St. Joseph's Institution Junior,2016,1,200,57,57,,0.285
St. Margaret's Primary School,2016,1,170,47,47,,0.276470588
St. Stephen's School,2016,1,170,44,44,,0.258823529
Stamford Primary School,2016,1,110,30,30,,0.272727273
Tampines North Primary School,2016,1,140,58,58,,0.414285714
Tampines Primary School,2016,1,140,85,85,,0.607142857
Tanjong Katong Primary School,2016,1,200,92,92,,0.46
Tao Nan School,2016,1,320,146,146,,0.45625
Teck Ghee Primary School,2016,1,170,89,89,,0.523529412
Teck Whye Primary School,2016,1,140,36,36,,0.257142857
Telok Kurau Primary School,2016,1,140,61,61,,0.435714286
Temasek Primary School,2016,1,200,89,89,,0.445
Townsville Primary School,2016,1,140,35,35,,0.25
Unity Primary School,2016,1,170,89,89,,0.523529412
Waterway Primary School,2016,1,200,9,9,,0.045
Wellington Primary School,2016,1,170,70,70,,0.411764706
West Grove Primary School,2016,1,200,87,87,,0.435
West Spring Primary School,2016,1,200,66,66,,0.33
West View Primary School,2016,1,110,29,29,,0.263636364
Westwood Primary School,2016,1,200,78,78,,0.39
White Sands Primary School,2016,1,140,75,75,,0.535714286
Woodgrove Primary School,2016,1,170,82,82,,0.482352941
Woodlands Primary School,2016,1,170,89,89,,0.523529412
Woodlands Ring Primary School,2016,1,170,86,86,,0.505882353
Xinghua Primary School,2016,1,110,37,37,,0.336363636
Xingnan Primary School,2016,1,170,87,87,,0.511764706
Xinmin Primary School,2016,1,170,77,77,,0.452941176
Xishan Primary School,2016,1,140,51,51,,0.364285714
Yangzheng Primary School,2016,1,140,52,52,,0.371428571
Yew Tee Primary School,2016,1,170,87,87,,0.511764706
Yio Chu Kang Primary School,2016,1,140,50,50,,0.357142857
Yishun Primary School,2016,1,170,74,74,,0.435294118
Yu Neng Primary School,2016,1,140,62,62,,0.442857143
Yuhua Primary School,2016,1,140,51,51,,0.364285714
Yumin Primary School,2016,1,110,49,49,,0.445454545
Zhangde Primary School,2016,1,200,75,75,,0.375
Zhenghua Primary School,2016,1,170,84,84,,0.494117647
Zhonghua Primary School,2016,1,110,43,43,,0.390909091
Admiralty Primary School,2017,1,170,73,73,,0.429411765
Ahmad Ibrahim Primary School,2017,1,140,46,46,,0.328571429
Ai Tong School,2017,1,290,138,138,,0.475862069
Alexandra Primary School,2017,1,170,82,82,,0.482352941
Anchor Green Primary School,2017,1,200,93,93,,0.465
Anderson Primary School,2017,1,170,85,85,,0.5
Ang Mo Kio Primary School,2017,1,170,48,48,,0.282352941
Anglo-Chinese School (Junior),2017,1,230,72,72,,0.313043478
Anglo-Chinese School (Primary),2017,1,200,62,62,,0.31
Angsana Primary School,2017,1,110,26,26,,0.236363636
Beacon Primary School,2017,1,170,78,78,,0.458823529
Bedok Green Primary School,2017,1,140,86,86,,0.614285714
Bendemeer Primary School,2017,1,170,67,67,,0.394117647
Blangah Rise Primary School,2017,1,80,10,10,,0.125
Boon Lay Garden Primary School,2017,1,140,73,73,,0.521428571
Bukit Panjang Primary School,2017,1,200,101,101,,0.505
Bukit Timah Primary School,2017,1,140,52,52,,0.371428571
Bukit View Primary School,2017,1,140,64,64,,0.457142857
Canberra Primary School,2017,1,170,94,94,,0.552941176
Canossa Catholic Primary School,2017,1,80,6,6,,0.075
Cantonment Primary School,2017,1,170,68,68,,0.4
Casuarina Primary School,2017,1,140,95,95,,0.678571429
Catholic High School (Primary),2017,1,200,67,67,,0.335
Cedar Primary School,2017,1,80,34,34,,0.425
Changkat Primary School,2017,1,140,50,50,,0.357142857
CHIJ (Katong) Primary,2017,1,170,47,47,,0.276470588
CHIJ (Kellock),2017,1,160,51,51,,0.31875
CHIJ Our Lady of Good Counsel,2017,1,110,24,24,,0.218181818
CHIJ Our Lady of the Nativity,2017,1,200,61,61,,0.305
CHIJ Our Lady Queen of Peace,2017,1,140,34,34,,0.242857143
CHIJ Primary (Toa Payoh),2017,1,170,58,58,,0.341176471
CHIJ St. Nicholas Girls' School,2017,1,170,68,68,,0.4
Chongfu School,2017,1,260,130,130,,0.5
Chongzheng Primary School,2017,1,140,64,64,,0.457142857
Chua Chu Kang Primary School,2017,1,170,90,90,,0.529411765
Clementi Primary School,2017,1,200,85,85,,0.425
Compassvale Primary School,2017,1,200,94,94,,0.47
Concord Primary School,2017,1,170,109,109,,0.641176471
Corporation Primary School,2017,1,170,72,72,,0.423529412
Damai Primary School,2017,1,80,40,40,,0.5
Dazhong Primary School,2017,1,110,61,61,,0.554545455
De La Salle School,2017,1,230,83,83,,0.360869565
East Spring Primary School,2017,1,140,63,63,,0.45
Edgefield Primary School,2017,1,230,89,89,,0.386956522
Elias Park Primary School,2017,1,140,62,62,,0.442857143
Endeavour Primary School,2017,1,170,88,88,,0.517647059
Eunos Primary School,2017,1,110,32,32,,0.290909091
Evergreen Primary School,2017,1,170,86,86,,0.505882353
Fairfield Methodist School (Primary),2017,1,230,123,123,,0.534782609
Farrer Park Primary School,2017,1,110,27,27,,0.245454545
Fengshan Primary School,2017,1,170,72,72,,0.423529412
Fern Green Primary School,2017,1,200,0,0,,0
Fernvale Primary School,2017,1,200,97,97,,0.485
First Toa Payoh Primary School,2017,1,110,15,15,,0.136363636
Frontier Primary School,2017,1,170,103,103,,0.605882353
Fuchun Primary School,2017,1,140,82,82,,0.585714286
Fuhua Primary School,2017,1,140,68,68,,0.485714286
Gan Eng Seng Primary School,2017,1,140,67,67,,0.478571429
Geylang Methodist School (Primary),2017,1,230,79,79,,0.343478261
Gongshang Primary School,2017,1,170,102,102,,0.6
Greendale Primary School,2017,1,200,84,84,,0.42
Greenridge Primary School,2017,1,200,87,87,,0.435
Greenwood Primary School,2017,1,170,75,75,,0.441176471
Guangyang Primary School,2017,1,80,22,22,,0.275
Haig Girls' School,2017,1,140,45,45,,0.321428571
Henry Park Primary School,2017,1,260,129,129,,0.496153846
Holy Innocents' Primary School,2017,1,230,104,104,,0.452173913
Hong Wen School,2017,1,170,86,86,,0.505882353
Horizon Primary School,2017,1,200,101,101,,0.505
Hougang Primary School,2017,1,170,90,90,,0.529411765
Huamin Primary School,2017,1,140,71,71,,0.507142857
Innova Primary School,2017,1,170,91,91,,0.535294118
Jiemin Primary School,2017,1,140,70,70,,0.5
Jing Shan Primary School,2017,1,110,64,64,,0.581818182
Junyuan Primary School,2017,1,140,99,99,,0.707142857
Jurong Primary School,2017,1,170,82,82,,0.482352941
Jurong West Primary School,2017,1,170,111,111,,0.652941176
Juying Primary School,2017,1,110,21,21,,0.190909091
Keming Primary School,2017,1,170,82,82,,0.482352941
Kheng Cheng School,2017,1,200,70,70,,0.35
Kong Hwa School,2017,1,230,113,113,,0.491304348
Kranji Primary School,2017,1,110,33,33,,0.3
Kuo Chuan Presbyterian Primary School,2017,1,200,84,84,,0.42
Lakeside Primary School,2017,1,170,87,87,,0.511764706
Lianhua Primary School,2017,1,140,31,31,,0.221428571
Maha Bodhi School,2017,1,290,133,133,,0.45862069
Maris Stella High School,2017,1,230,71,71,,0.308695652
Marsiling Primary School,2017,1,140,48,48,,0.342857143
Marymount Convent School,2017,1,170,48,48,,0.282352941
Mayflower Primary School,2017,1,140,49,49,,0.35
Mee Toh School,2017,1,260,112,112,,0.430769231
Meridian Primary School,2017,1,140,38,38,,0.271428571
Methodist Girls' School (Primary),2017,1,170,52,52,,0.305882353
Montfort Junior School,2017,1,110,19,19,,0.172727273
Nan Chiau Primary School,2017,1,260,125,125,,0.480769231
Nan Hua Primary School,2017,1,200,117,117,,0.585
Nanyang Primary School,2017,1,350,203,203,,0.58
Naval Base Primary School,2017,1,170,55,55,,0.323529412
New Town Primary School,2017,1,170,52,52,,0.305882353
Ngee Ann Primary School,2017,1,200,100,100,,0.5
North Spring Primary School,2017,1,170,70,70,,0.411764706
North View Primary School,2017,1,140,68,68,,0.485714286
North Vista Primary School,2017,1,200,64,64,,0.32
Northland Primary School,2017,1,200,115,115,,0.575
Northoaks Primary School,2017,1,140,38,38,,0.271428571
Oasis Primary School,2017,1,230,63,63,,0.273913043
Opera Estate Primary School,2017,1,110,49,49,,0.445454545
Palm View Primary School,2017,1,200,106,106,,0.53
Park View Primary School,2017,1,140,34,34,,0.242857143
Pasir Ris Primary School,2017,1,140,63,63,,0.45
Paya Lebar Methodist Girls' School (Primary),2017,1,230,63,63,,0.273913043
Pei Chun Public School,2017,1,290,154,154,,0.531034483
Pei Hwa Presbyterian Primary School,2017,1,230,121,121,,0.526086957
Pei Tong Primary School,2017,1,200,66,66,,0.33
Peiying Primary School,2017,1,140,53,53,,0.378571429
Pioneer Primary School,2017,1,110,69,69,,0.627272727
Poi Ching School,2017,1,200,110,110,,0.55
Princess Elizabeth Primary School,2017,1,170,84,84,,0.494117647
Punggol Cove Primary School,2017,1,260,38,38,,0.146153846
Punggol Green Primary School,2017,1,230,103,103,,0.447826087
Punggol Primary School,2017,1,170,82,82,,0.482352941
Punggol View Primary School,2017,1,230,121,121,,0.526086957
Qifa Primary School,2017,1,200,97,97,,0.485
Qihua Primary School,2017,1,170,73,73,,0.429411765
Queenstown Primary School,2017,1,200,65,65,,0.325
Radin Mas Primary School,2017,1,200,110,110,,0.55
Raffles Girls' Primary School,2017,1,230,73,73,,0.317391304
Red Swastika School,2017,1,200,99,99,,0.495
River Valley Primary School,2017,1,200,93,93,,0.465
Riverside Primary School,2017,1,170,101,101,,0.594117647
Rivervale Primary School,2017,1,200,83,83,,0.415
Rosyth School,2017,1,260,144,144,,0.553846154
Rulang Primary School,2017,1,230,103,103,,0.447826087
Sembawang Primary School,2017,1,140,55,55,,0.392857143
Seng Kang Primary School,2017,1,200,66,66,,0.33
Sengkang Green Primary School,2017,1,200,121,121,,0.605
Shuqun Primary School,2017,1,200,96,96,,0.48
Si Ling Primary School,2017,1,140,43,43,,0.307142857
Singapore Chinese Girls' Primary School,2017,1,160,61,61,,0.38125
South View Primary School,2017,1,230,104,104,,0.452173913
Springdale Primary School,2017,1,200,109,109,,0.545
St. Andrew's Junior School,2017,1,200,57,57,,0.285
St. Anthony's Canossian Primary School,2017,1,140,49,49,,0.35
St. Anthony's Primary School,2017,1,200,96,96,,0.48
St. Gabriel's Primary School,2017,1,110,30,30,,0.272727273
St. Hilda's Primary School,2017,1,230,131,131,,0.569565217
St. Joseph's Institution Junior,2017,1,200,75,75,,0.375
St. Margaret's Primary School,2017,1,170,59,59,,0.347058824
St. Stephen's School,2017,1,170,37,37,,0.217647059
Stamford Primary School,2017,1,110,35,35,,0.318181818
Tampines North Primary School,2017,1,140,57,57,,0.407142857
Tampines Primary School,2017,1,140,67,67,,0.478571429
Tanjong Katong Primary School,2017,1,200,77,77,,0.385
Tao Nan School,2017,1,320,153,153,,0.478125
Teck Ghee Primary School,2017,1,170,95,95,,0.558823529
Teck Whye Primary School,2017,1,140,42,42,,0.3
Telok Kurau Primary School,2017,1,140,76,76,,0.542857143
Temasek Primary School,2017,1,200,100,100,,0.5
Townsville Primary School,2017,1,140,46,46,,0.328571429
Unity Primary School,2017,1,170,95,95,,0.558823529
Waterway Primary School,2017,1,260,25,25,,0.096153846
Wellington Primary School,2017,1,170,92,92,,0.541176471
West Grove Primary School,2017,1,170,101,101,,0.594117647
West Spring Primary School,2017,1,200,103,103,,0.515
West View Primary School,2017,1,110,50,50,,0.454545455
Westwood Primary School,2017,1,200,101,101,,0.505
White Sands Primary School,2017,1,140,99,99,,0.707142857
Woodgrove Primary School,2017,1,170,87,87,,0.511764706
Woodlands Primary School,2017,1,170,91,91,,0.535294118
Woodlands Ring Primary School,2017,1,170,86,86,,0.505882353
Xinghua Primary School,2017,1,110,38,38,,0.345454545
Xingnan Primary School,2017,1,140,94,94,,0.671428571
Xinmin Primary School,2017,1,170,72,72,,0.423529412
Xishan Primary School,2017,1,140,52,52,,0.371428571
Yangzheng Primary School,2017,1,140,61,61,,0.435714286
Yew Tee Primary School,2017,1,170,94,94,,0.552941176
Yio Chu Kang Primary School,2017,1,110,33,33,,0.3
Yishun Primary School,2017,1,170,58,58,,0.341176471
Yu Neng Primary School,2017,1,140,75,75,,0.535714286
Yuhua Primary School,2017,1,110,51,51,,0.463636364
Yumin Primary School,2017,1,110,57,57,,0.518181818
Zhangde Primary School,2017,1,170,87,87,,0.511764706
Zhenghua Primary School,2017,1,170,80,80,,0.470588235
Zhonghua Primary School,2017,1,110,41,41,,0.372727273
Admiralty Primary School,2018,1,170,108,108,,0.635294118
Ahmad Ibrahim Primary School,2018,1,170,55,55,,0.323529412
Ai Tong School,2018,1,290,165,165,,0.568965517
Alexandra Primary School,2018,1,170,90,90,,0.529411765
Anchor Green Primary School,2018,1,230,100,100,,0.434782609
Anderson Primary School,2018,1,170,99,99,,0.582352941
Ang Mo Kio Primary School,2018,1,140,44,44,,0.314285714
Anglo-Chinese School (Junior),2018,1,230,80,80,,0.347826087
Anglo-Chinese School (Primary),2018,1,200,68,68,,0.34
Angsana Primary School,2018,1,170,28,28,,0.164705882
Beacon Primary School,2018,1,200,76,76,,0.38
Bedok Green Primary School,2018,1,200,61,61,,0.305
Bendemeer Primary School,2018,1,170,59,59,,0.347058824
Blangah Rise Primary School,2018,1,80,21,21,,0.2625
Boon Lay Garden Primary School,2018,1,200,58,58,,0.29
Bukit Panjang Primary School,2018,1,200,87,87,,0.435
Bukit Timah Primary School,2018,1,170,40,40,,0.235294118
Bukit View Primary School,2018,1,170,46,46,,0.270588235
Canberra Primary School,2018,1,170,105,105,,0.617647059
Canossa Catholic Primary School,2018,1,80,17,17,,0.2125
Cantonment Primary School,2018,1,170,66,66,,0.388235294
Casuarina Primary School,2018,1,140,82,82,,0.585714286
Catholic High School (Primary),2018,1,200,82,82,,0.41
Cedar Primary School,2018,1,140,45,45,,0.321428571
Changkat Primary School,2018,1,140,51,51,,0.364285714
CHIJ (Katong) Primary,2018,1,170,61,61,,0.358823529
CHIJ (Kellock),2018,1,160,51,51,,0.31875
CHIJ Our Lady of Good Counsel,2018,1,110,27,27,,0.245454545
CHIJ Our Lady of the Nativity,2018,1,200,59,59,,0.295
CHIJ Our Lady Queen of Peace,2018,1,140,37,37,,0.264285714
CHIJ Primary (Toa Payoh),2018,1,170,57,57,,0.335294118
CHIJ St. Nicholas Girls' School,2018,1,170,69,69,,0.405882353
Chongfu School,2018,1,260,153,153,,0.588461538
Chongzheng Primary School,2018,1,140,77,77,,0.55
Chua Chu Kang Primary School,2018,1,170,82,82,,0.482352941
Clementi Primary School,2018,1,200,108,108,,0.54
Compassvale Primary School,2018,1,200,110,110,,0.55
Concord Primary School,2018,1,200,113,113,,0.565
Corporation Primary School,2018,1,200,72,72,,0.36
Damai Primary School,2018,1,170,39,39,,0.229411765
Dazhong Primary School,2018,1,170,46,46,,0.270588235
De La Salle School,2018,1,230,112,112,,0.486956522
East Spring Primary School,2018,1,140,68,68,,0.485714286
Edgefield Primary School,2018,1,240,98,98,,0.408333333
Elias Park Primary School,2018,1,140,72,72,,0.514285714
Endeavour Primary School,2018,1,200,80,80,,0.4
Eunos Primary School,2018,1,110,37,37,,0.336363636
Evergreen Primary School,2018,1,170,92,92,,0.541176471
Fairfield Methodist School (Primary),2018,1,230,99,99,,0.430434783
Farrer Park Primary School,2018,1,140,24,24,,0.171428571
Fengshan Primary School,2018,1,170,70,70,,0.411764706
Fern Green Primary School,2018,1,260,21,21,,0.080769231
Fernvale Primary School,2018,1,230,92,92,,0.4
First Toa Payoh Primary School,2018,1,110,18,18,,0.163636364
Frontier Primary School,2018,1,200,135,135,,0.675
Fuchun Primary School,2018,1,170,73,73,,0.429411765
Fuhua Primary School,2018,1,200,75,75,,0.375
Gan Eng Seng Primary School,2018,1,140,73,73,,0.521428571
Geylang Methodist School (Primary),2018,1,230,102,102,,0.443478261
Gongshang Primary School,2018,1,170,106,106,,0.623529412
Greendale Primary School,2018,1,280,77,77,,0.275
Greenridge Primary School,2018,1,200,101,101,,0.505
Greenwood Primary School,2018,1,200,85,85,,0.425
Guangyang Primary School,2018,1,110,24,24,,0.218181818
Haig Girls' School,2018,1,140,51,51,,0.364285714
Henry Park Primary School,2018,1,260,159,159,,0.611538462
Holy Innocents' Primary School,2018,1,230,122,122,,0.530434783
Hong Wen School,2018,1,170,111,111,,0.652941176
Horizon Primary School,2018,1,280,102,102,,0.364285714
Hougang Primary School,2018,1,170,97,97,,0.570588235
Huamin Primary School,2018,1,170,63,63,,0.370588235
Innova Primary School,2018,1,170,77,77,,0.452941176
Jiemin Primary School,2018,1,170,77,77,,0.452941176
Jing Shan Primary School,2018,1,110,63,63,,0.572727273
Junyuan Primary School,2018,1,140,123,123,,0.878571429
Jurong Primary School,2018,1,170,109,109,,0.641176471
Jurong West Primary School,2018,1,170,87,87,,0.511764706
Juying Primary School,2018,1,140,18,18,,0.128571429
Keming Primary School,2018,1,170,91,91,,0.535294118
Kheng Cheng School,2018,1,200,95,95,,0.475
Kong Hwa School,2018,1,230,143,143,,0.62173913
Kranji Primary School,2018,1,110,30,30,,0.272727273
Kuo Chuan Presbyterian Primary School,2018,1,200,118,118,,0.59
Lakeside Primary School,2018,1,170,109,109,,0.641176471
Lianhua Primary School,2018,1,170,39,39,,0.229411765
Maha Bodhi School,2018,1,290,171,171,,0.589655172
Maris Stella High School,2018,1,230,103,103,,0.447826087
Marsiling Primary School,2018,1,200,42,42,,0.21
Marymount Convent School,2018,1,170,42,42,,0.247058824
Mayflower Primary School,2018,1,140,49,49,,0.35
Mee Toh School,2018,1,320,152,152,,0.475
Meridian Primary School,2018,1,140,41,41,,0.292857143
Methodist Girls' School (Primary),2018,1,170,66,66,,0.388235294
Montfort Junior School,2018,1,80,12,12,,0.15
Nan Chiau Primary School,2018,1,260,142,142,,0.546153846
Nan Hua Primary School,2018,1,200,112,112,,0.56
Nanyang Primary School,2018,1,350,196,196,,0.56
Naval Base Primary School,2018,1,200,91,91,,0.455
New Town Primary School,2018,1,200,48,48,,0.24
Ngee Ann Primary School,2018,1,200,105,105,,0.525
North Spring Primary School,2018,1,230,62,62,,0.269565217
North View Primary School,2018,1,140,87,87,,0.621428571
North Vista Primary School,2018,1,230,104,104,,0.452173913
Northland Primary School,2018,1,200,119,119,,0.595
Northoaks Primary School,2018,1,200,52,52,,0.26
Oasis Primary School,2018,1,280,83,83,,0.296428571
Opera Estate Primary School,2018,1,140,69,69,,0.492857143
Palm View Primary School,2018,1,230,126,126,,0.547826087
Park View Primary School,2018,1,140,40,40,,0.285714286
Pasir Ris Primary School,2018,1,140,82,82,,0.585714286
Paya Lebar Methodist Girls' School (Primary),2018,1,230,80,80,,0.347826087
Pei Chun Public School,2018,1,260,149,149,,0.573076923
Pei Hwa Presbyterian Primary School,2018,1,230,128,128,,0.556521739
Pei Tong Primary School,2018,1,200,62,62,,0.31
Peiying Primary School,2018,1,170,52,52,,0.305882353
Pioneer Primary School,2018,1,140,62,62,,0.442857143
Poi Ching School,2018,1,200,122,122,,0.61
Princess Elizabeth Primary School,2018,1,170,96,96,,0.564705882
Punggol Cove Primary School,2018,1,280,96,96,,0.342857143
Punggol Green Primary School,2018,1,280,137,137,,0.489285714
Punggol Primary School,2018,1,170,85,85,,0.5
Punggol View Primary School,2018,1,280,125,125,,0.446428571
Qifa Primary School,2018,1,200,99,99,,0.495
Qihua Primary School,2018,1,200,58,58,,0.29
Queenstown Primary School,2018,1,200,78,78,,0.39
Radin Mas Primary School,2018,1,170,115,115,,0.676470588
Raffles Girls' Primary School,2018,1,230,64,64,,0.27826087
Red Swastika School,2018,1,200,125,125,,0.625
River Valley Primary School,2018,1,200,108,108,,0.54
Riverside Primary School,2018,1,170,101,101,,0.594117647
Rivervale Primary School,2018,1,200,125,125,,0.625
Rosyth School,2018,1,260,159,159,,0.611538462
Rulang Primary School,2018,1,230,114,114,,0.495652174
Sembawang Primary School,2018,1,170,69,69,,0.405882353
Seng Kang Primary School,2018,1,230,73,73,,0.317391304
Sengkang Green Primary School,2018,1,230,125,125,,0.543478261
Shuqun Primary School,2018,1,200,104,104,,0.52
Si Ling Primary School,2018,1,170,57,57,,0.335294118
Singapore Chinese Girls' Primary School,2018,1,160,67,67,,0.41875
South View Primary School,2018,1,230,127,127,,0.552173913
Springdale Primary School,2018,1,230,109,109,,0.473913043
St. Andrew's Junior School,2018,1,200,71,71,,0.355
St. Anthony's Canossian Primary School,2018,1,200,42,42,,0.21
St. Anthony's Primary School,2018,1,170,99,99,,0.582352941
St. Gabriel's Primary School,2018,1,110,32,32,,0.290909091
St. Hilda's Primary School,2018,1,230,153,153,,0.665217391
St. Joseph's Institution Junior,2018,1,200,65,65,,0.325
St. Margaret's Primary School,2018,1,160,51,51,,0.31875
St. Stephen's School,2018,1,170,40,40,,0.235294118
Stamford Primary School,2018,1,140,26,26,,0.185714286
Tampines North Primary School,2018,1,170,50,50,,0.294117647
Tampines Primary School,2018,1,170,77,77,,0.452941176
Tanjong Katong Primary School,2018,1,200,70,70,,0.35
Tao Nan School,2018,1,320,162,162,,0.50625
Teck Ghee Primary School,2018,1,170,85,85,,0.5
Teck Whye Primary School,2018,1,140,47,47,,0.335714286
Telok Kurau Primary School,2018,1,200,66,66,,0.33
Temasek Primary School,2018,1,200,102,102,,0.51
Townsville Primary School,2018,1,170,44,44,,0.258823529
Unity Primary School,2018,1,170,91,91,,0.535294118
Waterway Primary School,2018,1,280,73,73,,0.260714286
Wellington Primary School,2018,1,200,69,69,,0.345
West Grove Primary School,2018,1,170,108,108,,0.635294118
West Spring Primary School,2018,1,200,101,101,,0.505
West View Primary School,2018,1,170,37,37,,0.217647059
Westwood Primary School,2018,1,200,119,119,,0.595
White Sands Primary School,2018,1,140,94,94,,0.671428571
Woodgrove Primary School,2018,1,170,101,101,,0.594117647
Woodlands Primary School,2018,1,170,110,110,,0.647058824
Woodlands Ring Primary School,2018,1,200,85,85,,0.425
Xinghua Primary School,2018,1,200,41,41,,0.205
Xingnan Primary School,2018,1,140,71,71,,0.507142857
Xinmin Primary School,2018,1,170,80,80,,0.470588235
Xishan Primary School,2018,1,200,58,58,,0.29
Yangzheng Primary School,2018,1,140,92,92,,0.657142857
Yew Tee Primary School,2018,1,170,58,58,,0.341176471
Yio Chu Kang Primary School,2018,1,170,38,38,,0.223529412
Yishun Primary School,2018,1,170,61,61,,0.358823529
Yu Neng Primary School,2018,1,140,90,90,,0.642857143
Yuhua Primary School,2018,1,170,41,41,,0.241176471
Yumin Primary School,2018,1,110,51,51,,0.463636364
Zhangde Primary School,2018,1,170,91,91,,0.535294118
Zhenghua Primary School,2018,1,200,84,84,,0.42
Zhonghua Primary School,2018,1,140,30,30,,0.214285714
Admiralty Primary School,2019,1,170,83,83,,0.488235294
Ahmad Ibrahim Primary School,2019,1,200,49,49,,0.245
Ai Tong School,2019,1,260,121,121,,0.465384615
Alexandra Primary School,2019,1,170,99,99,,0.582352941
Anchor Green Primary School,2019,1,200,84,84,,0.42
Anderson Primary School,2019,1,170,86,86,,0.505882353
Ang Mo Kio Primary School,2019,1,110,46,46,,0.418181818
Anglo-Chinese School (Junior),2019,1,230,75,75,,0.326086957
Anglo-Chinese School (Primary),2019,1,200,57,57,,0.285
Angsana Primary School,2019,1,80,24,24,,0.3
Beacon Primary School,2019,1,170,63,63,,0.370588235
Bedok Green Primary School,2019,1,170,52,52,,0.305882353
Bendemeer Primary School,2019,1,140,51,51,,0.364285714
Blangah Rise Primary School,2019,1,50,15,15,,0.3
Boon Lay Garden Primary School,2019,1,200,51,51,,0.255
Bukit Panjang Primary School,2019,1,200,98,98,,0.49
Bukit Timah Primary School,2019,1,140,45,45,,0.321428571
Bukit View Primary School,2019,1,140,51,51,,0.364285714
Canberra Primary School,2019,1,170,91,91,,0.535294118
Canossa Catholic Primary School,2019,1,80,19,19,,0.2375
Cantonment Primary School,2019,1,140,61,61,,0.435714286
Casuarina Primary School,2019,1,140,77,77,,0.55
Catholic High School (Primary),2019,1,200,89,89,,0.445
Cedar Primary School,2019,1,170,36,36,,0.211764706
Changkat Primary School,2019,1,110,49,49,,0.445454545
CHIJ (Katong) Primary,2019,1,160,40,40,,0.25
CHIJ (Kellock),2019,1,160,46,46,,0.2875
CHIJ Our Lady of Good Counsel,2019,1,110,37,37,,0.336363636
CHIJ Our Lady of the Nativity,2019,1,200,66,66,,0.33
CHIJ Our Lady Queen of Peace,2019,1,140,36,36,,0.257142857
CHIJ Primary (Toa Payoh),2019,1,170,54,54,,0.317647059
CHIJ St. Nicholas Girls' School,2019,1,170,64,64,,0.376470588
Chongfu School,2019,1,260,119,119,,0.457692308
Chongzheng Primary School,2019,1,140,69,69,,0.492857143
Chua Chu Kang Primary School,2019,1,200,90,90,,0.45
Clementi Primary School,2019,1,200,76,76,,0.38
Compassvale Primary School,2019,1,200,79,79,,0.395
Concord Primary School,2019,1,200,79,79,,0.395
Corporation Primary School,2019,1,170,75,75,,0.441176471
Damai Primary School,2019,1,110,25,25,,0.227272727
Dazhong Primary School,2019,1,140,55,55,,0.392857143
De La Salle School,2019,1,200,90,90,,0.45
East Spring Primary School,2019,1,110,53,53,,0.481818182
Edgefield Primary School,2019,1,200,95,95,,0.475
Elias Park Primary School,2019,1,140,63,63,,0.45
Endeavour Primary School,2019,1,170,72,72,,0.423529412
Eunos Primary School,2019,1,50,27,27,,0.54
Evergreen Primary School,2019,1,140,82,82,,0.585714286
Fairfield Methodist School (Primary),2019,1,230,107,107,,0.465217391
Farrer Park Primary School,2019,1,110,28,28,,0.254545455
Fengshan Primary School,2019,1,140,70,70,,0.5
Fern Green Primary School,2019,1,230,61,61,,0.265217391
Fernvale Primary School,2019,1,200,96,96,,0.48
First Toa Payoh Primary School,2019,1,80,17,17,,0.2125
Frontier Primary School,2019,1,170,79,79,,0.464705882
Fuchun Primary School,2019,1,170,50,50,,0.294117647
Fuhua Primary School,2019,1,170,82,82,,0.482352941
Gan Eng Seng Primary School,2019,1,140,43,43,,0.307142857
Geylang Methodist School (Primary),2019,1,230,90,90,,0.391304348
Gongshang Primary School,2019,1,170,75,75,,0.441176471
Greendale Primary School,2019,1,240,64,64,,0.266666667
Greenridge Primary School,2019,1,170,69,69,,0.405882353
Greenwood Primary School,2019,1,170,82,82,,0.482352941
Guangyang Primary School,2019,1,80,24,24,,0.3
Haig Girls' School,2019,1,140,53,53,,0.378571429
Henry Park Primary School,2019,1,260,130,130,,0.5
Holy Innocents' Primary School,2019,1,230,91,91,,0.395652174
Hong Wen School,2019,1,170,84,84,,0.494117647
Horizon Primary School,2019,1,240,83,83,,0.345833333
Hougang Primary School,2019,1,170,77,77,,0.452941176
Huamin Primary School,2019,1,170,72,72,,0.423529412
Innova Primary School,2019,1,140,96,96,,0.685714286
